# Distance [mm]	ReEz [] - Freq='11.994GHz' Phase='0deg'	ImEz [] - Freq='11.994GHz' Phase='0deg'
0	-17.31361389	15.34955406
0.1	-17.37708616	15.40579762
0.2	-17.44055843	15.46204119
0.3	-17.59159013	15.59590076
0.4	-17.88123816	15.85263512
0.5	-18.17088619	16.10936949
0.6	-18.63565304	16.52133589
0.7	-19.15147681	16.97856108
0.8	-19.70380308	17.4681435
0.9	-20.44580256	18.12585954
1	-21.18780204	18.78357559
1.1	-22.05386341	19.55126489
1.2	-23.02203858	20.40947181
1.3	-23.99021376	21.26767873
1.4	-25.1700102	22.31347495
1.5	-26.36436104	23.37217277
1.6	-27.63171686	24.49558504
1.7	-29.05224335	25.75477377
1.8	-30.47276983	27.0139625
1.9	-32.05386066	28.41548176
2	-33.70056277	29.87516143
2.1	-35.36921297	31.35429674
2.2	-37.24209068	33.01446738
2.3	-39.1149684	34.67463801
2.4	-41.09735355	36.43188037
2.5	-43.19640684	38.29254199
2.6	-45.29546014	40.15320361
2.7	-47.59158019	42.18855304
2.8	-49.91680904	44.24970567
2.9	-52.30048844	46.36267119
3	-54.85189283	48.62431485
3.1	-57.40329721	50.88595851
3.2	-60.10071146	53.27703117
3.3	-62.87829136	55.73916588
3.4	-65.66326493	58.20785464
3.5	-68.66702032	60.87048043
3.6	-71.67077571	63.53310621
3.7	-74.76948408	66.27990217
3.8	-77.99941493	69.14301906
3.9	-81.22934579	72.00613594
4	-84.64178892	75.03103913
4.1	-88.09789521	78.09464714
4.2	-90.12394606	79.89361338
4.3	-86.21167102	76.44113645
4.4	-82.29939597	72.98865952
4.5	-84.10144989	74.5901582
4.6	-90.02095504	79.83329148
4.7	-95.94046019	85.07642476
4.8	-103.7122831	91.9618611
4.9	-111.5446678	98.90099275
5	-120.0570239	106.443001
5.1	-129.8022883	115.078131
5.2	-139.5475527	123.7132611
5.3	-150.7133217	133.6078396
5.4	-162.3714659	143.9389681
5.5	-174.277768	154.4901185
5.6	-187.8487922	166.5172456
5.7	-201.4198164	178.5443726
5.8	-215.9795317	191.4480934
5.9	-231.463436	205.171219
6	-246.9473403	218.8943446
6.1	-264.1604691	234.1506359
6.2	-281.5572535	249.5697601
6.3	-299.5109157	265.4826234
6.4	-318.8205805	282.5977461
6.5	-338.1302453	299.7128689
6.6	-358.7373213	317.9783028
6.7	-379.9598666	336.7894243
6.8	-401.307476	355.7114301
6.9	-424.4429019	376.2185503
7	-447.5783277	396.7256705
7.1	-471.5793513	418.0002471
7.2	-496.6276578	440.203366
7.3	-521.6759644	462.406485
7.4	-548.0699057	485.8086449
7.5	-574.7208452	509.4398056
7.6	-601.3175494	533.0207894
7.7	-627.7293247	556.4306823
7.8	-654.1410999	579.8405752
7.9	-686.1240127	608.1898556
8	-721.6107799	639.6456639
8.1	-757.1068944	671.1097595
8.2	-801.6686555	710.6114822
8.3	-846.2304165	750.1132049
8.4	-894.314728	792.7380294
8.5	-947.9514848	840.2856657
8.6	-1001.588242	887.8333019
8.7	-1062.260753	941.6188536
8.8	-1124.972508	997.2124023
8.9	-1189.158224	1054.112768
9	-1260.944978	1117.752228
9.1	-1332.731732	1181.391689
9.2	-1409.505653	1249.452779
9.3	-1490.367409	1321.13815
9.4	-1571.229164	1392.823521
9.5	-1660.591294	1472.045335
9.6	-1750.528053	1551.776615
9.7	-1842.241518	1633.080496
9.8	-1937.665156	1717.66833
9.9	-2033.088793	1802.256164
10	-2143.595026	1900.226652
10.1	-2260.233669	2003.638374
10.2	-2378.904852	2108.853953
10.3	-2516.268897	2230.659254
10.4	-2653.632943	2352.464555
10.5	-2801.052958	2483.194421
10.6	-2959.142413	2623.393302
10.7	-3117.231868	2763.592182
10.8	-3293.400724	2919.836334
10.9	-3472.215595	3078.428794
11	-3656.407883	3241.793652
11.1	-3855.948175	3418.779691
11.2	-4055.488467	3595.765731
11.3	-4268.429613	3784.644875
11.4	-4488.695333	3980.024494
11.5	-4710.005015	4176.336484
11.6	-4961.230477	4399.366485
11.7	-5212.45594	4622.396486
11.8	-5476.852331	4857.017892
11.9	-5759.37381	5107.590736
12	-6041.895289	5358.163579
12.1	-6350.676252	5632.237671
12.2	-6665.697896	5911.896937
12.3	-6987.060637	6197.23127
12.4	-7334.582395	6505.977034
12.5	-7682.104154	6814.722798
12.6	-8048.548749	7140.403929
12.7	-8428.570572	7478.236267
12.8	-8808.592394	7816.068605
12.9	-9220.118755	8182.096667
13	-9632.640591	8549.015654
13.1	-10056.74866	8926.304058
13.2	-10501.77046	9322.30977
13.3	-10946.79226	9718.315481
13.4	-11415.98197	10135.95101
13.5	-11893.50368	10561.04352
13.6	-12373.06681	10988.09192
13.7	-12866.20043	11428.14227
13.8	-13359.33406	11868.19262
13.9	-13859.41465	12314.89909
14	-14365.96225	12767.80184
14.1	-14872.50985	13220.70458
14.2	-15387.46909	13682.05727
14.3	-15903.31112	14144.29677
14.4	-16422.31974	14609.63542
14.5	-16949.00071	15082.48297
14.6	-17475.68167	15555.33053
14.7	-17998.54154	16025.91076
14.8	-18519.59731	16495.42047
14.9	-19039.23575	16963.82611
15	-19538.94965	17416.71059
15.1	-20038.66355	17869.59506
15.2	-20528.69807	18314.93904
15.3	-21007.0701	18751.19763
15.4	-21485.44214	19187.45622
15.5	-21945.87272	19609.73737
15.6	-22402.90289	20029.36943
15.7	-22850.85497	20441.74739
15.8	-23268.03395	20829.53535
