field_component,derivative_x,region_name,s_start,s_end,idx_start,idx_end,param_index,param_name,param_symbol,param_value,to_fit
Bs,0,Poly_0,-1.1,1.1,0,2200,0,bs_0,bs_0,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,1,bs_1,bs_1,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,2,bs_2,bs_2,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,3,bs_3,bs_3,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,4,bs_4,bs_4,0,False
Bx,0,Poly_000,-1.1,-1.095,0,5,0,ks_0_0,ks_0_0,-409.4008503700777,True
Bx,0,Poly_000,-1.1,-1.095,0,5,1,ks_0_1,ks_0_1,-1492.16291982311,True
Bx,0,Poly_000,-1.1,-1.095,0,5,2,ks_0_2,ks_0_2,-2039.4441907334076,True
Bx,0,Poly_000,-1.1,-1.095,0,5,3,ks_0_3,ks_0_3,-1238.8625437486057,True
Bx,0,Poly_000,-1.1,-1.095,0,5,4,ks_0_4,ks_0_4,-282.20522955976946,True
Bx,0,Poly_001,-1.095,-1.09,5,10,0,ks_0_0,ks_0_0,-69.00821802885977,True
Bx,0,Poly_001,-1.095,-1.09,5,10,1,ks_0_1,ks_0_1,-249.8509471826513,True
Bx,0,Poly_001,-1.095,-1.09,5,10,2,ks_0_2,ks_0_2,-339.1931359436246,True
Bx,0,Poly_001,-1.095,-1.09,5,10,3,ks_0_3,ks_0_3,-204.64114330167112,True
Bx,0,Poly_001,-1.095,-1.09,5,10,4,ks_0_4,ks_0_4,-46.295492880936216,True
Bx,0,Poly_002,-1.09,-1.085,10,15,0,ks_0_0,ks_0_0,-401.536184334104,True
Bx,0,Poly_002,-1.09,-1.085,10,15,1,ks_0_1,ks_0_1,-1474.2647335483848,True
Bx,0,Poly_002,-1.09,-1.085,10,15,2,ks_0_2,ks_0_2,-2029.8528348729592,True
Bx,0,Poly_002,-1.09,-1.085,10,15,3,ks_0_3,ks_0_3,-1242.1656916143077,True
Bx,0,Poly_002,-1.09,-1.085,10,15,4,ks_0_4,ks_0_4,-285.05933651887403,True
Bx,0,Poly_003,-1.085,-1.08,15,20,0,ks_0_0,ks_0_0,-1554.7387382921274,True
Bx,0,Poly_003,-1.085,-1.08,15,20,1,ks_0_1,ks_0_1,-5739.52978987301,True
Bx,0,Poly_003,-1.085,-1.08,15,20,2,ks_0_2,ks_0_2,-7945.676220196756,True
Bx,0,Poly_003,-1.085,-1.08,15,20,3,ks_0_3,ks_0_3,-4888.859875578579,True
Bx,0,Poly_003,-1.085,-1.08,15,20,4,ks_0_4,ks_0_4,-1128.0295976413408,True
