field_component,derivative_x,region_name,s_start,s_end,idx_start,idx_end,param_index,param_name,param_symbol,param_value,to_fit
Bs,0,Poly_000,0.0,3e-05,0,10,0,bs_0,bs_0,3.442328877245604e-05,True
Bs,0,Poly_000,0.0,3e-05,0,10,1,bs_1,bs_1,0.005231801455026405,True
Bs,0,Poly_000,0.0,3e-05,0,10,2,bs_2,bs_2,0.5585942819408274,True
Bs,0,Poly_000,0.0,3e-05,0,10,3,bs_3,bs_3,-1735.8953780583563,True
Bs,0,Poly_000,0.0,3e-05,0,10,4,bs_4,bs_4,29654742.310592648,True
Bs,0,Poly_001,3e-05,6e-05,10,20,0,bs_0,bs_0,3.442338579506734e-05,True
Bs,0,Poly_001,3e-05,6e-05,10,20,1,bs_1,bs_1,0.00522210454517146,True
Bs,0,Poly_001,3e-05,6e-05,10,20,2,bs_2,bs_2,0.8818671687473332,True
Bs,0,Poly_001,3e-05,6e-05,10,20,3,bs_3,bs_3,-5338.108507821863,True
Bs,0,Poly_001,3e-05,6e-05,10,20,4,bs_4,bs_4,29900224.689444415,True
Bs,0,Poly_002,6e-05,8.999999999999999e-05,20,30,0,bs_0,bs_0,3.442416742383773e-05,True
Bs,0,Poly_002,6e-05,8.999999999999999e-05,20,30,1,bs_1,bs_1,0.005182999136850211,True
Bs,0,Poly_002,6e-05,8.999999999999999e-05,20,30,2,bs_2,bs_2,1.5347776842343217,True
Bs,0,Poly_002,6e-05,8.999999999999999e-05,20,30,3,bs_3,bs_3,-8988.558948721578,True
Bs,0,Poly_002,6e-05,8.999999999999999e-05,20,30,4,bs_4,bs_4,30109728.42153682,True
Bs,0,Poly_003,8.999999999999999e-05,0.00012,30,40,0,bs_0,bs_0,3.4426831635681054e-05,True
Bs,0,Poly_003,8.999999999999999e-05,0.00012,30,40,1,bs_1,bs_1,0.005094045892513796,True
Bs,0,Poly_003,8.999999999999999e-05,0.00012,30,40,2,bs_2,bs_2,2.5267935891785442,True
Bs,0,Poly_003,8.999999999999999e-05,0.00012,30,40,3,bs_3,bs_3,-12706.157114116126,True
Bs,0,Poly_003,8.999999999999999e-05,0.00012,30,40,4,bs_4,bs_4,30359391.26980222,True
Bs,0,Poly_004,0.00012,0.00015,40,50,0,bs_0,bs_0,3.443320421636642e-05,True
Bs,0,Poly_004,0.00012,0.00015,40,50,1,bs_1,bs_1,0.004934370005186631,True
Bs,0,Poly_004,0.00012,0.00015,40,50,2,bs_2,bs_2,3.86382037476097,True
Bs,0,Poly_004,0.00012,0.00015,40,50,3,bs_3,bs_3,-16475.47119308392,True
Bs,0,Poly_004,0.00012,0.00015,40,50,4,bs_4,bs_4,30594319.944395844,True
Bs,0,Poly_005,0.00015,0.00017999999999999998,50,60,0,bs_0,bs_0,3.444576041114391e-05,True
Bs,0,Poly_005,0.00015,0.00017999999999999998,50,60,1,bs_1,bs_1,0.004682535031160646,True
Bs,0,Poly_005,0.00015,0.00017999999999999998,50,60,2,bs_2,bs_2,5.552541531066235,True
Bs,0,Poly_005,0.00015,0.00017999999999999998,50,60,3,bs_3,bs_3,-20295.1727729363,True
Bs,0,Poly_005,0.00015,0.00017999999999999998,50,60,4,bs_4,bs_4,30820133.557317466,True
Bs,0,Poly_006,0.00017999999999999998,0.00021,60,70,0,bs_0,bs_0,3.4467644321640144e-05,True
Bs,0,Poly_006,0.00017999999999999998,0.00021,60,70,1,bs_1,bs_1,0.004316592025054721,True
Bs,0,Poly_006,0.00017999999999999998,0.00021,60,70,2,bs_2,bs_2,7.599347941769231,True
Bs,0,Poly_006,0.00017999999999999998,0.00021,60,70,3,bs_3,bs_3,-24163.39535546217,True
Bs,0,Poly_006,0.00017999999999999998,0.00021,60,70,4,bs_4,bs_4,31038066.22511415,True
Bs,0,Poly_007,0.00021,0.00024,70,80,0,bs_0,bs_0,3.4502820278406454e-05,True
Bs,0,Poly_007,0.00021,0.00024,70,80,1,bs_1,bs_1,0.0038116996844741093,True
Bs,0,Poly_007,0.00021,0.00024,70,80,2,bs_2,bs_2,10.026662729497613,True
Bs,0,Poly_007,0.00021,0.00024,70,80,3,bs_3,bs_3,-28127.418331069603,True
Bs,0,Poly_007,0.00021,0.00024,70,80,4,bs_4,bs_4,31304246.157290895,True
Bs,0,Poly_008,0.00024,0.00027,80,90,0,bs_0,bs_0,3.455584126799138e-05,True
Bs,0,Poly_008,0.00024,0.00027,80,90,1,bs_1,bs_1,0.003145454030573092,True
Bs,0,Poly_008,0.00024,0.00027,80,90,2,bs_2,bs_2,12.832129248074871,True
Bs,0,Poly_008,0.00024,0.00027,80,90,3,bs_3,bs_3,-32147.733035285633,True
Bs,0,Poly_008,0.00024,0.00027,80,90,4,bs_4,bs_4,31563434.9932368,True
Bs,0,Poly_009,0.00027,0.0003,90,100,0,bs_0,bs_0,3.4631759319654924e-05,True
Bs,0,Poly_009,0.00027,0.0003,90,100,1,bs_1,bs_1,0.0022979242300657982,True
Bs,0,Poly_009,0.00027,0.0003,90,100,2,bs_2,bs_2,16.001080953335585,True
Bs,0,Poly_009,0.00027,0.0003,90,100,3,bs_3,bs_3,-36171.82625635305,True
Bs,0,Poly_009,0.00027,0.0003,90,100,4,bs_4,bs_4,31771292.879661027,True
Bs,0,Poly_010,0.0003,0.00033,100,110,0,bs_0,bs_0,3.473745177522375e-05,True
Bs,0,Poly_010,0.0003,0.00033,100,110,1,bs_1,bs_1,0.0012335637009549332,True
Bs,0,Poly_010,0.0003,0.00033,100,110,2,bs_2,bs_2,19.598957202771373,True
Bs,0,Poly_010,0.0003,0.00033,100,110,3,bs_3,bs_3,-40337.12518131412,True
Bs,0,Poly_010,0.0003,0.00033,100,110,4,bs_4,bs_4,32051528.890669174,True
Bs,0,Poly_011,0.00033,0.00035999999999999997,110,120,0,bs_0,bs_0,3.48788174040493e-05,True
Bs,0,Poly_011,0.00033,0.00035999999999999997,110,120,1,bs_1,bs_1,-5.945793117118027e-05,True
Bs,0,Poly_011,0.00033,0.00035999999999999997,110,120,2,bs_2,bs_2,23.565336533989118,True
Bs,0,Poly_011,0.00033,0.00035999999999999997,110,120,3,bs_3,bs_3,-44490.18519847187,True
Bs,0,Poly_011,0.00033,0.00035999999999999997,110,120,4,bs_4,bs_4,32274251.85813889,True
Bs,0,Poly_012,0.00035999999999999997,0.00039000000000000005,120,130,0,bs_0,bs_0,3.5065013337439575e-05,True
Bs,0,Poly_012,0.00035999999999999997,0.00039000000000000005,120,130,1,bs_1,bs_1,-0.0016239469464185618,True
Bs,0,Poly_012,0.00035999999999999997,0.00039000000000000005,120,130,2,bs_2,bs_2,27.98299995053884,True
Bs,0,Poly_012,0.00035999999999999997,0.00039000000000000005,120,130,3,bs_3,bs_3,-48781.03642154307,True
Bs,0,Poly_012,0.00035999999999999997,0.00039000000000000005,120,130,4,bs_4,bs_4,32553177.992299903,True
Bs,0,Poly_013,0.00039000000000000005,0.00042,130,140,0,bs_0,bs_0,3.53030126708509e-05,True
Bs,0,Poly_013,0.00039000000000000005,0.00042,130,140,1,bs_1,bs_1,-0.003468437907254002,True
Bs,0,Poly_013,0.00039000000000000005,0.00042,130,140,2,bs_2,bs_2,32.783247783108166,True
Bs,0,Poly_013,0.00039000000000000005,0.00042,130,140,3,bs_3,bs_3,-53065.97548213795,True
Bs,0,Poly_013,0.00039000000000000005,0.00042,130,140,4,bs_4,bs_4,32787147.48260153,True
Bs,0,Poly_014,0.00042,0.00045000000000000004,140,150,0,bs_0,bs_0,3.560411525728532e-05,True
Bs,0,Poly_014,0.00042,0.00045000000000000004,140,150,1,bs_1,bs_1,-0.005638886075813324,True
Bs,0,Poly_014,0.00042,0.00045000000000000004,140,150,2,bs_2,bs_2,38.04530017728189,True
Bs,0,Poly_014,0.00042,0.00045000000000000004,140,150,3,bs_3,bs_3,-57467.46746488076,True
Bs,0,Poly_014,0.00042,0.00045000000000000004,140,150,4,bs_4,bs_4,33055725.77706517,True
Bs,0,Poly_015,0.00045000000000000004,0.00048,150,160,0,bs_0,bs_0,3.597771292551676e-05,True
Bs,0,Poly_015,0.00045000000000000004,0.00048,150,160,1,bs_1,bs_1,-0.008153040538990375,True
Bs,0,Poly_015,0.00045000000000000004,0.00048,150,160,2,bs_2,bs_2,43.737205894049374,True
Bs,0,Poly_015,0.00045000000000000004,0.00048,150,160,3,bs_3,bs_3,-61917.44236669271,True
Bs,0,Poly_015,0.00045000000000000004,0.00048,150,160,4,bs_4,bs_4,33315805.532722425,True
Bs,0,Poly_016,0.00048,0.00051,160,170,0,bs_0,bs_0,3.6437068675509985e-05,True
Bs,0,Poly_016,0.00048,0.00051,160,170,1,bs_1,bs_1,-0.011055658914738095,True
Bs,0,Poly_016,0.00048,0.00051,160,170,2,bs_2,bs_2,49.916635131357225,True
Bs,0,Poly_016,0.00048,0.00051,160,170,3,bs_3,bs_3,-66484.98370284365,True
Bs,0,Poly_016,0.00048,0.00051,160,170,4,bs_4,bs_4,33603916.06395368,True
Bs,0,Poly_017,0.00051,0.00054,170,180,0,bs_0,bs_0,3.698685594355662e-05,True
Bs,0,Poly_017,0.00051,0.00054,170,180,1,bs_1,bs_1,-0.014315542296780176,True
Bs,0,Poly_017,0.00051,0.00054,170,180,2,bs_2,bs_2,56.410245139667836,True
Bs,0,Poly_017,0.00051,0.00054,170,180,3,bs_3,bs_3,-70929.00164455044,True
Bs,0,Poly_017,0.00051,0.00054,170,180,4,bs_4,bs_4,33800047.96925231,True
Bs,0,Poly_018,0.00054,0.0005700000000000001,180,190,0,bs_0,bs_0,3.765683655703677e-05,True
Bs,0,Poly_018,0.00054,0.0005700000000000001,180,190,1,bs_1,bs_1,-0.0180893402680335,True
Bs,0,Poly_018,0.00054,0.0005700000000000001,180,190,2,bs_2,bs_2,63.59069505656524,True
Bs,0,Poly_018,0.00054,0.0005700000000000001,180,190,3,bs_3,bs_3,-75717.44936609177,True
Bs,0,Poly_018,0.00054,0.0005700000000000001,180,190,4,bs_4,bs_4,34130037.88410345,True
Bs,0,Poly_019,0.0005700000000000001,0.0006,190,200,0,bs_0,bs_0,3.844425288857333e-05,True
Bs,0,Poly_019,0.0005700000000000001,0.0006,190,200,1,bs_1,bs_1,-0.022279294031464107,True
Bs,0,Poly_019,0.0005700000000000001,0.0006,190,200,2,bs_2,bs_2,71.10212825364894,True
Bs,0,Poly_019,0.0005700000000000001,0.0006,190,200,3,bs_3,bs_3,-80392.4299654928,True
Bs,0,Poly_019,0.0005700000000000001,0.0006,190,200,4,bs_4,bs_4,34377919.160651915,True
Bs,0,Poly_020,0.0006,0.00063,200,210,0,bs_0,bs_0,3.937523891096163e-05,True
Bs,0,Poly_020,0.0006,0.00063,200,210,1,bs_1,bs_1,-0.026994327197738595,True
Bs,0,Poly_020,0.0006,0.00063,200,210,2,bs_2,bs_2,79.16132426697787,True
Bs,0,Poly_020,0.0006,0.00063,200,210,3,bs_3,bs_3,-85204.95552038134,True
Bs,0,Poly_020,0.0006,0.00063,200,210,4,bs_4,bs_4,34657462.620790094,True
Bs,0,Poly_021,0.00063,0.00066,210,220,0,bs_0,bs_0,4.046178092208342e-05,True
Bs,0,Poly_021,0.00063,0.00066,210,220,1,bs_1,bs_1,-0.032235587679180625,True
Bs,0,Poly_021,0.00063,0.00066,210,220,2,bs_2,bs_2,87.69472973914411,True
Bs,0,Poly_021,0.00063,0.00066,210,220,3,bs_3,bs_3,-90060.05475519439,True
Bs,0,Poly_021,0.00063,0.00066,210,220,4,bs_4,bs_4,34927548.09012633,True
Bs,0,Poly_022,0.00066,0.0006900000000000001,220,230,0,bs_0,bs_0,4.172353266263747e-05,True
Bs,0,Poly_022,0.00066,0.0006900000000000001,220,230,1,bs_1,bs_1,-0.03804927668103363,True
Bs,0,Poly_022,0.00066,0.0006900000000000001,220,230,2,bs_2,bs_2,96.74153995561407,True
Bs,0,Poly_022,0.00066,0.0006900000000000001,220,230,3,bs_3,bs_3,-94990.50178449524,True
Bs,0,Poly_022,0.00066,0.0006900000000000001,220,230,4,bs_4,bs_4,35201471.63515218,True
Bs,0,Poly_023,0.0006900000000000001,0.0007199999999999999,230,240,0,bs_0,bs_0,4.318173493113324e-05,True
Bs,0,Poly_023,0.0006900000000000001,0.0007199999999999999,230,240,1,bs_1,bs_1,-0.04448288692335824,True
Bs,0,Poly_023,0.0006900000000000001,0.0007199999999999999,230,240,2,bs_2,bs_2,106.33739043268194,True
Bs,0,Poly_023,0.0006900000000000001,0.0007199999999999999,230,240,3,bs_3,bs_3,-100020.51525942347,True
