field_component,derivative_x,region_name,s_start,s_end,idx_start,idx_end,param_index,param_name,param_symbol,param_value,to_fit
Bs,0,Poly_0,-1100.0,1100.0,0,2200,0,bs_0,bs_0,0,False
Bs,0,Poly_0,-1100.0,1100.0,0,2200,1,bs_1,bs_1,0,False
Bs,0,Poly_0,-1100.0,1100.0,0,2200,2,bs_2,bs_2,0,False
Bs,0,Poly_0,-1100.0,1100.0,0,2200,3,bs_3,bs_3,0,False
Bs,0,Poly_0,-1100.0,1100.0,0,2200,4,bs_4,bs_4,0,False
Bx,0,Poly_00,-1100.0,-920.0,0,180,0,ks_0_0,ks_0_0,-6090.507670776889,True
Bx,0,Poly_00,-1100.0,-920.0,0,180,1,ks_0_1,ks_0_1,-24.19662934439747,True
Bx,0,Poly_00,-1100.0,-920.0,0,180,2,ks_0_2,ks_0_2,-0.03594434368136491,True
Bx,0,Poly_00,-1100.0,-920.0,0,180,3,ks_0_3,ks_0_3,-2.366526738812133e-05,True
Bx,0,Poly_00,-1100.0,-920.0,0,180,4,ks_0_4,ks_0_4,-5.827197177391858e-09,True
Bx,0,Poly_01,-920.0,-866.0,180,234,0,ks_0_0,ks_0_0,-880147.2847594647,True
Bx,0,Poly_01,-920.0,-866.0,180,234,1,ks_0_1,ks_0_1,-3946.1719294072645,True
Bx,0,Poly_01,-920.0,-866.0,180,234,2,ks_0_2,ks_0_2,-6.632772940774009,True
Bx,0,Poly_01,-920.0,-866.0,180,234,3,ks_0_3,ks_0_3,-0.004953350070832484,True
Bx,0,Poly_01,-920.0,-866.0,180,234,4,ks_0_4,ks_0_4,-1.3867608883940378e-06,True
Bx,0,Poly_02,-866.0,-812.0,234,288,0,ks_0_0,ks_0_0,-685638.7837095904,True
Bx,0,Poly_02,-866.0,-812.0,234,288,1,ks_0_1,ks_0_1,-3272.34848004967,True
Bx,0,Poly_02,-866.0,-812.0,234,288,2,ks_0_2,ks_0_2,-5.8546984118497125,True
Bx,0,Poly_02,-866.0,-812.0,234,288,3,ks_0_3,ks_0_3,-0.00465389552851397,True
Bx,0,Poly_02,-866.0,-812.0,234,288,4,ks_0_4,ks_0_4,-1.3867870968026726e-06,True
Bx,0,Poly_03,-812.0,-758.0,288,342,0,ks_0_0,ks_0_0,-525287.5210054336,True
Bx,0,Poly_03,-812.0,-758.0,288,342,1,ks_0_1,ks_0_1,-2679.901543071141,True
Bx,0,Poly_03,-812.0,-758.0,288,342,2,ks_0_2,ks_0_2,-5.125071750060647,True
Bx,0,Poly_03,-812.0,-758.0,288,342,3,ks_0_3,ks_0_3,-0.004354384281936876,True
Bx,0,Poly_03,-812.0,-758.0,288,342,4,ks_0_4,ks_0_4,-1.3867981048024256e-06,True
Bx,0,Poly_04,-758.0,-704.0,342,396,0,ks_0_0,ks_0_0,-394843.1299309453,True
Bx,0,Poly_04,-758.0,-704.0,342,396,1,ks_0_1,ks_0_1,-2163.609734766347,True
Bx,0,Poly_04,-758.0,-704.0,342,396,2,ks_0_2,ks_0_2,-4.443919896095725,True
Bx,0,Poly_04,-758.0,-704.0,342,396,3,ks_0_3,ks_0_3,-0.004054831848477735,True
Bx,0,Poly_04,-758.0,-704.0,342,396,4,ks_0_4,ks_0_4,-1.3867969069560603e-06,True
Bx,0,Poly_05,-704.0,-650.0,396,450,0,ks_0_0,ks_0_0,-290336.18259416084,True
Bx,0,Poly_05,-704.0,-650.0,396,450,1,ks_0_1,ks_0_1,-1718.2417995039623,True
Bx,0,Poly_05,-704.0,-650.0,396,450,2,ks_0_2,ks_0_2,-3.811249303816929,True
Bx,0,Poly_05,-704.0,-650.0,396,450,3,ks_0_3,ks_0_3,-0.003755232521398517,True
Bx,0,Poly_05,-704.0,-650.0,396,450,4,ks_0_4,ks_0_4,-1.3867777331248743e-06,True
Bx,0,Poly_06,-650.0,-596.0,450,504,0,ks_0_0,ks_0_0,-208094.54254128062,True
Bx,0,Poly_06,-650.0,-596.0,450,504,1,ks_0_1,ks_0_1,-1338.6643979622227,True
Bx,0,Poly_06,-650.0,-596.0,450,504,2,ks_0_2,ks_0_2,-3.227310299925506,True
Bx,0,Poly_06,-650.0,-596.0,450,504,3,ks_0_3,ks_0_3,-0.0034558449334376328,True
Bx,0,Poly_06,-650.0,-596.0,450,504,4,ks_0_4,ks_0_4,-1.3868407104778696e-06,True
Bx,0,Poly_07,-596.0,-542.0,504,558,0,ks_0_0,ks_0_0,-144681.54108973037,True
Bx,0,Poly_07,-596.0,-542.0,504,558,1,ks_0_1,ks_0_1,-1019.4475338176368,True
Bx,0,Poly_07,-596.0,-542.0,504,558,2,ks_0_2,ks_0_2,-2.6916591647787613,True
Bx,0,Poly_07,-596.0,-542.0,504,558,3,ks_0_3,ks_0_3,-0.003156206034410548,True
Bx,0,Poly_07,-596.0,-542.0,504,558,4,ks_0_4,ks_0_4,-1.386804503602909e-06,True
Bx,0,Poly_08,-542.0,-488.0,558,612,0,ks_0_0,ks_0_0,-96993.60730869904,True
Bx,0,Poly_08,-542.0,-488.0,558,612,1,ks_0_1,ks_0_1,-755.4743929854108,True
Bx,0,Poly_08,-542.0,-488.0,558,612,2,ks_0_2,ks_0_2,-2.204586291238347,True
Bx,0,Poly_08,-542.0,-488.0,558,612,3,ks_0_3,ks_0_3,-0.0028566172554308146,True
Bx,0,Poly_08,-542.0,-488.0,558,612,4,ks_0_4,ks_0_4,-1.3867861405660494e-06,True
Bx,0,Poly_09,-488.0,-434.0,612,666,0,ks_0_0,ks_0_0,-62182.338491579394,True
Bx,0,Poly_09,-488.0,-434.0,612,666,1,ks_0_1,ks_0_1,-541.4418338290218,True
