Edit,Accl.,Zone,El�ment,Date R,Radial (m),Radial Beamb,Comm R Beamb,Radial Cw,Comm R Cw,Radial Mec,Comm R Mec,Radial Opti,Comm R Opti,Date V,Vertical (m),Vertical Beamb,Comm V Beamb,Vertical Cw,Comm V Cw,Vertical Mec,Comm V Mec,Vertical Opti,Comm V Opti,Date T,Roll (rad),Tilt Beamb,Comm T Beamb,Tilt Cw,Comm T Cw,Tilt Mec,Comm T Mec,Tilt Opti,Comm T Opti,Date L,Longitudinal (m),Longitudinal Beamb,Comm L Beamb,Longitudinal Cw,Comm L Cw,Longitudinal Mec,Comm L Mec,Longitudinal Opti,Comm L Opti,Id.,Date,Nom Layout,Id SU assemb.,lien SIG
,H4TEST,TCC2,QNL.X0220034.E,11-Sep-26,0.0015,,,,,0.0015,Test Crabe: Radial seul crabe E=+0.0015 m / S=-0.0015 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840274,11-Sep-26,QNL.X0220034,,
,H4TEST,TCC2,QNL.X0220034.S,11-Sep-26,-0.0015,,,,,-0.0015,Test Crabe: Radial seul crabe E=+0.0015 m / S=-0.0015 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840279,11-Sep-26,QNL.X0220034,,
,H4TEST,TCC2,QNL.X0220049.E,11-Sep-26,0.003,,,,,0.003,Test Crabe: Radial seul crabe E=+0.0030 m / S=-0.0030 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840356,11-Sep-26,QNL.X0220049,,
,H4TEST,TCC2,QNL.X0220049.S,11-Sep-26,-0.003,,,,,-0.003,Test Crabe: Radial seul crabe E=+0.0030 m / S=-0.0030 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840512,11-Sep-26,QNL.X0220049,,
,H4TEST,TCC2,MBNV.X0220053.E,11-Sep-26,-0.006,,,,,-0.006,Test Symetrique: Radial seul symetrique -0.006 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840325,11-Sep-26,MBNV.X0220053,,
,H4TEST,TCC2,MBNV.X0220053.S,11-Sep-26,-0.006,,,,,-0.006,Test Symetrique: Radial seul symetrique -0.006 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840459,11-Sep-26,MBNV.X0220053,,
,H4TEST,TCC2,MBNV.X0220059.E,11-Sep-26,-0.002,,,,,-0.002,Test Symetrique: Radial seul symetrique -0.002 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840269,11-Sep-26,MBNV.X0220059,,
,H4TEST,TCC2,MBNV.X0220059.S,11-Sep-26,-0.002,,,,,-0.002,Test Symetrique: Radial seul symetrique -0.002 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840304,11-Sep-26,MBNV.X0220059,,
,H4TEST,TCC2,MBNV.X0220065.E,11-Sep-26,0.001,,,,,0.001,Test Symetrique: Radial seul symetrique +0.001 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840571,11-Sep-26,MBNV.X0220065,,
,H4TEST,TCC2,MBNV.X0220065.S,11-Sep-26,0.001,,,,,0.001,Test Symetrique: Radial seul symetrique +0.001 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840585,11-Sep-26,MBNV.X0220065,,
,H4TEST,TCC2,XCSH.X0220068.E,11-Sep-26,0.008,,,,,0.008,Test Crabe: Radial seul crabe E=+0.0080 m / S=-0.0080 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840601,11-Sep-26,XCSH.X0220068,,
,H4TEST,TCC2,XCSH.X0220068.S,11-Sep-26,-0.008,,,,,-0.008,Test Crabe: Radial seul crabe E=+0.0080 m / S=-0.0080 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840435,11-Sep-26,XCSH.X0220068,,
,H4TEST,TCC2,MBNV.X0220071.E,11-Sep-26,0.02,0.005,Test Symetrique: Radial seul symetrique +0.020 m (E=S) - reparti egalement sur B/M/O/C,0.005,,0.005,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840460,11-Sep-26,MBNV.X0220071,,
,H4TEST,TCC2,MBNV.X0220071.S,11-Sep-26,0.02,0.005,Test Symetrique: Radial seul symetrique +0.020 m (E=S) - reparti egalement sur B/M/O/C,0.005,,0.005,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840357,11-Sep-26,MBNV.X0220071,,
,H4TEST,TCC2,MBNV.X0220077.E,11-Sep-26,0.1,,,,,0.1,Test Symetrique: Radial seul symetrique +0.100 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840395,11-Sep-26,MBNV.X0220077,,
,H4TEST,TCC2,MBNV.X0220077.S,11-Sep-26,0.1,,,,,0.1,Test Symetrique: Radial seul symetrique +0.100 m (E=S) - tout en M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840419,11-Sep-26,MBNV.X0220077,,
,H4TEST,TCC2,MBNV.X0220083.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,-0.006,,,,,-0.006,Test Symetrique: Longitudinal seul symetrique -0.006 m (E=S) - tout en M,,,840482,11-Sep-26,MBNV.X0220083,,
,H4TEST,TCC2,MBNV.X0220083.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,-0.006,,,,,-0.006,Test Symetrique: Longitudinal seul symetrique -0.006 m (E=S) - tout en M,,,840285,11-Sep-26,MBNV.X0220083,,
,H4TEST,TCC2,QNL.X0220097.E,,,,,,,,,,,11-Sep-26,0.0002,0.00005,Test Crabe: Vertical seul crabe E=+0.0002 m / S=-0.0002 m - reparti egalement sur B/M/O/C,0.00005,,0.00005,,0.00005,,,,,,,,,,,,,,,,,,,,,,840238,11-Sep-26,QNL.X0220097,,
,H4TEST,TCC2,QNL.X0220097.S,,,,,,,,,,,11-Sep-26,-0.0002,-0.00005,Test Crabe: Vertical seul crabe E=+0.0002 m / S=-0.0002 m - reparti egalement sur B/M/O/C,-0.00005,,-0.00005,,-0.00005,,,,,,,,,,,,,,,,,,,,,,840236,11-Sep-26,QNL.X0220097,,
,H4TEST,TT81,MBXHC.X0220117.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,-0.002,,,,,-0.002,Test Symetrique: Longitudinal seul symetrique -0.002 m (E=S) - tout en M,,,840427,11-Sep-26,MBXHC.X0220117,,
,H4TEST,TT81,MBXHC.X0220117.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,-0.002,,,,,-0.002,Test Symetrique: Longitudinal seul symetrique -0.002 m (E=S) - tout en M,,,840299,11-Sep-26,MBXHC.X0220117,,
,H4TEST,TT81,MBXHC.X0220120.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,0.001,0.00025,Test Symetrique: Longitudinal seul symetrique +0.001 m (E=S) - reparti egalement sur B/M/O/C,0.00025,,0.00025,,0.00025,,840308,11-Sep-26,MBXHC.X0220120,,
,H4TEST,TT81,MBXHC.X0220120.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,0.001,0.00025,Test Symetrique: Longitudinal seul symetrique +0.001 m (E=S) - reparti egalement sur B/M/O/C,0.00025,,0.00025,,0.00025,,840489,11-Sep-26,MBXHC.X0220120,,
,H4TEST,TT81,MBXHC.X0220123.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,0.02,,,,,0.02,Test Symetrique: Longitudinal seul symetrique +0.020 m (E=S) - tout en M,,,840538,11-Sep-26,MBXHC.X0220123,,
,H4TEST,TT81,MBXHC.X0220123.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,0.02,,,,,0.02,Test Symetrique: Longitudinal seul symetrique +0.020 m (E=S) - tout en M,,,840542,11-Sep-26,MBXHC.X0220123,,
,H4TEST,TT81,MBXHC.X0220127.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,0.1,,,,,0.1,Test Symetrique: Longitudinal seul symetrique +0.100 m (E=S) - tout en M,,,840547,11-Sep-26,MBXHC.X0220127,,
,H4TEST,TT81,MBXHC.X0220127.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-26,0.1,,,,,0.1,Test Symetrique: Longitudinal seul symetrique +0.100 m (E=S) - tout en M,,,840229,11-Sep-26,MBXHC.X0220127,,
,H4TEST,TT81,XSCI.X0220130.E,,,,,,,,,,,11-Sep-26,0.002,,,,,0.002,Test Combine (symetrique): Roll 4 mrad + Vertical = +0.002 m (E=S) - tout en M,,,11-Sep-26,0.004,,,,,0.004,Test Combine (symetrique): Roll 4 mrad + Vertical = +0.002 m (E=S) - tout en M,,,,,,,,,,,,,840321,11-Sep-26,XSCI.X0220130,,
,H4TEST,TT81,XCHV.X0220130.E,,,,,,,,,,,11-Sep-26,0.002,,,,,0.002,Test Crabe: Vertical seul crabe E=+0.0020 m / S=-0.0020 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,840587,11-Sep-26,XCHV.X0220130,,
,H4TEST,TT81,XCHV.X0220130.S,,,,,,,,,,,11-Sep-26,-0.002,,,,,-0.002,Test Crabe: Vertical seul crabe E=+0.0020 m / S=-0.0020 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,840245,11-Sep-26,XCHV.X0220130,,
,H4TEST,TT81,QNL.X0220132.E,,,,,,,,,,,11-Sep-26,0.003,,,,,0.003,Test Crabe: Vertical seul crabe E=+0.0030 m / S=-0.0030 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,840588,11-Sep-26,QNL.X0220132,,
,H4TEST,TT81,QNL.X0220132.S,,,,,,,,,,,11-Sep-26,-0.003,,,,,-0.003,Test Crabe: Vertical seul crabe E=+0.0030 m / S=-0.0030 m - tout en M,,,,,,,,,,,,,,,,,,,,,,,840589,11-Sep-26,QNL.X0220132,,
