Accl.,Zone,Elément,X (m),Y (m),Z (m),Dist. cumul. (m),Longueur (m),1/2 Déflexion (rad),Gisement (gon),Pente faisceau Z (rad),Roll faisceau Z (rad),Corhgeo (m),Date_Calcul,Comm,Type longueur,Id point ,Id SU assemb.,Id slot,Nom Layout,Layout type,Source,lien SIG,lien Layout
H4TEST,TCC2,H4TEST.-.E,669.234140,4590.727900,2441.574200,0.000000,,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840442,,,H4TEST$START,,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,TBACA.X0200000.E,669.234140,4590.727900,2441.574200,0.000000,,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840329,56309981,56309981,TBACA.X0200000,SPTBACA,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,TBACA.X0200000.S,669.234140,4590.727900,2441.574200,0.000001,0.000001,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840379,56309981,56309981,TBACA.X0200000,SPTBACA,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,TBID.230950.E,669.274840,4591.075525,2441.574071,0.350000,,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840336,46651909,46651909,TBID.230950,SPTBID_,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,TBID.230950.S,669.303912,4591.323829,2441.573978,0.600000,0.250000,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840570,46651909,46651909,TBID.230950,SPTBID_,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,TCMAA.X0200001.E,669.309726,4591.373490,2441.573960,0.650000,,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840584,56992098,56992098,TCMAA.X0200001,SPTCMAA,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,TCMAA.X0200001.S,669.356241,4591.770776,2441.573812,1.050000,0.400000,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840594,56992098,56992098,TCMAA.X0200001,SPTCMAA,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,XVW.X0200001.E,669.362148,4591.821232,2441.573793,1.100800,,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840361,57601341,57601341,XVW.X0200001,SPXVWAI001,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,XVW.X0200001.S,669.362172,4591.821430,2441.573793,1.101000,0.000200,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840296,57601341,57601341,XVW.X0200001,SPXVWAI001,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,MBSA.X0200003.E,669.395197,4592.103504,2441.573688,1.385000,,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840565,56477726,56477726,MBSA.X0200003,SPMTN__HWP,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,MBSA.X0200003.S,669.837086,4595.877723,2441.572282,5.185000,3.800000,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840223,56477726,56477726,MBSA.X0200003,SPMTN__HWP,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,MBSA.X0200007.E,669.940581,4596.761685,2441.571952,6.075000,,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840511,56477749,56477749,MBSA.X0200007,SPMTN__HWP,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,MBSA.X0200007.S,670.382470,4600.535904,2441.570546,9.875000,3.800000,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840455,56477749,56477749,MBSA.X0200007,SPMTN__HWP,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,XVW.X0200021.E,671.724627,4611.999400,2441.566276,21.416800,,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840297,57570058,57570058,XVW.X0200021,SPXVWAE001,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,XVW.X0200021.S,671.724651,4611.999599,2441.566276,21.417000,0.000200,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840493,57570058,57570058,XVW.X0200021,SPXVWAE001,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,XTAX.X0220023.E,671.786771,4612.530175,2441.566078,21.951200,,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840273,57112661,57112661,XTAX.X0220023,SPXTAX_003,https://edms.cern.ch/document/3410680/0.4,,
H4TEST,TCC2,XTAX.X0220023.S,671.974574,4614.134218,2441.565481,23.566200,1.615000,0.000000000,7.4198240,-0.000370000,0.000000000,0.000000,09-SEP-2026,,Magnétique,840475,57112661,57112661,XTAX.X0220023,SPXTAX_003,https://edms.cern.ch/document/3410680/0.4,,
