Accl.,Zone,Elément,X (m),Y (m),Z (m),Dist. cumul. (m),Longueur (m),1/2 Déflexion (rad),Gisement (gon),Pente faisceau Z (rad),Roll faisceau Z (rad),Corhgeo (m),Date_Calcul,Comm,Type longueur,Id point ,Id SU assemb.,Id slot,Nom Layout,Layout type,Source,lien SIG,lien Layout
H4TEST2,TCC2,TBACA.X0200000.E,669.234140,4590.727900,2441.574200,0.000000,,0.000000000,7.4198200,-0.000370000,0.000000000,0.000000,16-SEP-2026,,Magnétique,845120,,56309981,TBACA.X0200000,SPTBACA,"""\\eosproject-smb\eos\project\g\geodetic-metrology\Accelerators_Beamlines\Theo_Beamline\51150 NORTH_AREAS\2026 - Test Xsuite\Test 1 - Gianni\h4_survey_comp_vbend_output.tfs""",,
H4TEST2,TCC2,TBACA.X0200000.S,669.234140,4590.727900,2441.574200,0.000001,0.000001,0.000000000,7.4198200,-0.000370000,0.000000000,0.000000,16-SEP-2026,,Magnétique,845090,,56309981,TBACA.X0200000,SPTBACA,"""\\eosproject-smb\eos\project\g\geodetic-metrology\Accelerators_Beamlines\Theo_Beamline\51150 NORTH_AREAS\2026 - Test Xsuite\Test 1 - Gianni\h4_survey_comp_vbend_output.tfs""",,
H4TEST2,TCC2,TBID.230950.E,669.274840,4591.075525,2441.574071,0.350000,,0.000000000,7.4198200,-0.000370000,0.000000000,0.000000,16-SEP-2026,,Magnétique,845197,,46651909,TBID.230950,SPTBID_,"""\\eosproject-smb\eos\project\g\geodetic-metrology\Accelerators_Beamlines\Theo_Beamline\51150 NORTH_AREAS\2026 - Test Xsuite\Test 1 - Gianni\h4_survey_comp_vbend_output.tfs""",,
H4TEST2,TCC2,TBID.230950.S,669.303912,4591.323829,2441.573978,0.600000,0.250000,0.000000000,7.4198200,-0.000370000,0.000000000,0.000000,16-SEP-2026,,Magnétique,845146,,46651909,TBID.230950,SPTBID_,"""\\eosproject-smb\eos\project\g\geodetic-metrology\Accelerators_Beamlines\Theo_Beamline\51150 NORTH_AREAS\2026 - Test Xsuite\Test 1 - Gianni\h4_survey_comp_vbend_output.tfs""",,
H4TEST2,TCC2,TCMAA.X0200001.E,669.309726,4591.373490,2441.573960,0.650000,,0.000000000,7.4198200,-0.000370000,0.000000000,0.000000,16-SEP-2026,,Magnétique,845007,,56992098,TCMAA.X0200001,SPTCMAA,"""\\eosproject-smb\eos\project\g\geodetic-metrology\Accelerators_Beamlines\Theo_Beamline\51150 NORTH_AREAS\2026 - Test Xsuite\Test 1 - Gianni\h4_survey_comp_vbend_output.tfs""",,
H4TEST2,TCC2,TCMAA.X0200001.S,669.356241,4591.770776,2441.573812,1.050000,0.400000,0.000000000,7.4198200,-0.000370000,0.000000000,0.000000,16-SEP-2026,,Magnétique,844933,,56992098,TCMAA.X0200001,SPTCMAA,"""\\eosproject-smb\eos\project\g\geodetic-metrology\Accelerators_Beamlines\Theo_Beamline\51150 NORTH_AREAS\2026 - Test Xsuite\Test 1 - Gianni\h4_survey_comp_vbend_output.tfs""",,
H4TEST2,TCC2,XVW.X0200001.E,669.362148,4591.821232,2441.573793,1.100800,,0.000000000,7.4198200,-0.000370000,0.000000000,0.000000,16-SEP-2026,,Magnétique,845150,,57601341,XVW.X0200001,SPXVWAI001,"""\\eosproject-smb\eos\project\g\geodetic-metrology\Accelerators_Beamlines\Theo_Beamline\51150 NORTH_AREAS\2026 - Test Xsuite\Test 1 - Gianni\h4_survey_comp_vbend_output.tfs""",,
H4TEST2,TCC2,XVW.X0200001.S,669.362172,4591.821430,2441.573793,1.101000,0.000200,0.000000000,7.4198200,-0.000370000,0.000000000,0.000000,16-SEP-2026,,Magnétique,845233,,57601341,XVW.X0200001,SPXVWAI001,"""\\eosproject-smb\eos\project\g\geodetic-metrology\Accelerators_Beamlines\Theo_Beamline\51150 NORTH_AREAS\2026 - Test Xsuite\Test 1 - Gianni\h4_survey_comp_vbend_output.tfs""",,
H4TEST2,TCC2,MBSA.X0200003.E,669.395197,4592.103504,2441.573688,1.385000,,0.000000000,7.4198200,-0.000370000,0.000000000,0.000000,16-SEP-2026,,Magnétique,845053,,56477726,MBSA.X0200003,SPMTN__HWP,"""\\eosproject-smb\eos\project\g\geodetic-metrology\Accelerators_Beamlines\Theo_Beamline\51150 NORTH_AREAS\2026 - Test Xsuite\Test 1 - Gianni\h4_survey_comp_vbend_output.tfs""",,
H4TEST2,TCC2,MBSA.X0200003.S,669.837086,4595.877723,2441.572282,5.185000,3.800000,0.000000000,7.4198200,-0.000370000,0.000000000,0.000000,16-SEP-2026,,Magnétique,844885,,56477726,MBSA.X0200003,SPMTN__HWP,"""\\eosproject-smb\eos\project\g\geodetic-metrology\Accelerators_Beamlines\Theo_Beamline\51150 NORTH_AREAS\2026 - Test Xsuite\Test 1 - Gianni\h4_survey_comp_vbend_output.tfs""",,
H4TEST2,TCC2,MBSA.X0200007.E,669.940581,4596.761685,2441.571952,6.075000,,0.000000000,7.4198200,-0.000370000,0.000000000,0.000000,16-SEP-2026,,Magnétique,845038,,56477749,MBSA.X0200007,SPMTN__HWP,"""\\eosproject-smb\eos\project\g\geodetic-metrology\Accelerators_Beamlines\Theo_Beamline\51150 NORTH_AREAS\2026 - Test Xsuite\Test 1 - Gianni\h4_survey_comp_vbend_output.tfs""",,
H4TEST2,TCC2,MBSA.X0200007.S,670.382470,4600.535904,2441.570546,9.875000,3.800000,0.000000000,7.4198200,-0.000370000,0.000000000,0.000000,16-SEP-2026,,Magnétique,844914,,56477749,MBSA.X0200007,SPMTN__HWP,"""\\eosproject-smb\eos\project\g\geodetic-metrology\Accelerators_Beamlines\Theo_Beamline\51150 NORTH_AREAS\2026 - Test Xsuite\Test 1 - Gianni\h4_survey_comp_vbend_output.tfs""",,
H4TEST2,TCC2,XVW.X0200021.E,671.724626,4611.999401,2441.566276,21.416800,,0.000000000,7.4198200,-0.000370000,0.000000000,0.000000,16-SEP-2026,,Magnétique,845221,,57570058,XVW.X0200021,SPXVWAE001,"""\\eosproject-smb\eos\project\g\geodetic-metrology\Accelerators_Beamlines\Theo_Beamline\51150 NORTH_AREAS\2026 - Test Xsuite\Test 1 - Gianni\h4_survey_comp_vbend_output.tfs""",,
