Accl.,Zone,Elément,X (m),Y (m),H (m),Z (m),Dist. cumul. (m),Code,R (m),S (m),T (m),Origine,Roll Alésage (rad),Roll Elément (rad),Roll Ref Angle (rad),Date_Calcul,Comm,Id point ,Id SU assemb.,Id slot,Nom Layout,Id asset,Layout type,lien SIG,lien Norma,lien MTF
H4TEST,TCC2,XTAX.X0220023.E,671.793780,4612.590041,442.942000,2442.308056,22.011200,2,0.000000,0.060000,0.742000,Entry,-0.000252946,-0.000252946,0.000000000,10-SEP-2026,,842549,57112661,57112661,XTAX.X0220023,,SPXTAX_003,,,
H4TEST,TCC2,XTAX.X0220023.S,671.967629,4614.074898,442.941997,2442.307503,23.506200,2,0.000000,1.555000,0.742000,Entry,-0.000252946,-0.000252946,0.000000000,10-SEP-2026,,842550,57112661,57112661,XTAX.X0220023,,SPXTAX_003,,,
H4TEST,TCC2,XTAX.X0220025.E,671.983909,4614.213948,442.941996,2442.307451,23.646200,2,0.000000,0.060000,0.742000,Entry,-0.000252946,-0.000252946,0.000000000,10-SEP-2026,,842530,57112679,57112679,XTAX.X0220025,,SPXTAX_004,,,
H4TEST,TCC2,XTAX.X0220025.S,672.157757,4615.698805,442.941994,2442.306898,25.141200,2,0.000000,1.555000,0.742000,Entry,-0.000252946,-0.000252946,0.000000000,10-SEP-2026,,842531,57112679,57112679,XTAX.X0220025,,SPXTAX_004,,,
H4TEST,TCC2,MSN.X0220027.E,672.265778,4616.621145,442.518992,2441.883554,26.070000,1,-0.000560,0.400000,0.319000,Entry,-0.000252944,-0.000252944,0.000000000,10-SEP-2026,,842532,57372109,57372109,MSN.X0220027,,SPMSN__,,,
H4TEST,TCC2,MSN.X0220027.S,672.548391,4619.004447,442.518987,2441.882666,28.470000,1,-0.000560,2.800000,0.319000,Entry,-0.000252944,-0.000252944,0.000000000,10-SEP-2026,,842533,57372109,57372109,MSN.X0220027,,SPMSN__,,,
H4TEST,TCC2,MSN.X0220031.A,672.959156,4620.116881,442.562939,2441.926263,29.623916,1,0.274773,0.278915,0.363023,Entry,-0.004690938,-0.000252938,-0.004438000,10-SEP-2026,,842534,57372148,57372148,MSN.X0220031,SPMSN__CWP-00777703,SPMSN__,,,
H4TEST,TCC2,MSN.X0220031.E,672.693240,4620.150630,442.570771,2441.934026,29.625270,1,0.006727,0.280269,0.370787,Entry,-0.004690938,-0.000252938,-0.004438000,10-SEP-2026,,842535,57372148,57372148,MSN.X0220031,SPMSN__CWP-00777703,SPMSN__,,,
H4TEST,TCC2,MSN.X0220031.B,673.282026,4622.742334,442.568368,2441.930719,32.269144,1,0.277902,2.924143,0.368458,Entry,-0.004690938,-0.000252938,-0.004438000,10-SEP-2026,,842536,57372148,57372148,MSN.X0220031,SPMSN__CWP-00777703,SPMSN__,,,
H4TEST,TCC2,MSN.X0220031.S,673.012926,4622.778048,442.569783,2441.932064,32.272066,1,0.006459,2.927065,0.369805,Entry,-0.004690938,-0.000252938,-0.004438000,10-SEP-2026,,842537,57372148,57372148,MSN.X0220031,SPMSN__CWP-00777703,SPMSN__,,,
H4TEST,TCC2,QNL.X0220034.E,673.111649,4623.645456,442.689978,2442.051936,33.145003,1,0.000000,0.100000,0.490000,Entry,-0.000252932,-0.000252932,0.000000000,11-SEP-2026,,842538,56047727,56047727,QNL.X0220034,,SPQNL__8WP,,,
H4TEST,TCC2,QNL.X0220034.S,673.456318,4626.414084,442.689973,2442.050904,35.935001,1,0.000000,2.890000,0.490000,Entry,-0.000252932,-0.000252932,0.000000000,11-SEP-2026,,842539,56047727,56047727,QNL.X0220034,,SPQNL__8WP,,,
H4TEST,TCC2,QNL.X0220041.E,673.951222,4630.433734,442.689968,2442.049406,39.985003,1,0.000000,0.100000,0.490000,Entry,-0.000252934,-0.000252934,0.000000000,10-SEP-2026,,842540,56047860,56047860,QNL.X0220041,,SPQNL__8WP,,,
H4TEST,TCC2,QNL.X0220041.S,674.293113,4633.202707,442.689965,2442.048373,42.775003,1,0.000000,2.890000,0.490000,Entry,-0.000252934,-0.000252934,0.000000000,10-SEP-2026,,842541,56047860,56047860,QNL.X0220041,,SPQNL__8WP,,,
H4TEST,TCC2,QNL.X0220049.E,674.850350,4637.738607,442.689965,2442.046682,47.345003,1,0.000000,0.100000,0.490000,Entry,-0.000252934,-0.000252934,0.000000000,11-SEP-2026,,842542,56047896,56047896,QNL.X0220049,,SPQNL__8WP,,,
H4TEST,TCC2,QNL.X0220049.S,675.197797,4640.506888,442.689965,2442.045650,50.134997,1,0.000000,2.890000,0.490000,Entry,-0.000252934,-0.000252934,0.000000000,11-SEP-2026,,842543,56047896,56047896,QNL.X0220049,,SPQNL__8WP,,,
H4TEST,TCC2,MBNV.X0220053.E,675.347946,4641.745799,442.808014,2442.163236,51.385002,1,-0.612000,0.600000,0.000000,Entry,-0.000252963,-1.571049263,1.570796300,11-SEP-2026,,842544,57372253,57372253,MBNV.X0220053,,SPMBNV_HWP,,,
H4TEST,TCC2,MBNV.X0220053.S,675.813602,4645.517143,442.821009,2442.174821,55.185003,1,-0.612000,4.400000,0.000000,Entry,-0.000252963,-1.571049263,1.570796300,11-SEP-2026,,842545,57372253,57372253,MBNV.X0220053,,SPMBNV_HWP,,,
H4TEST,TCC2,MBNV.X0220059.E,676.041011,4647.358928,442.837700,2442.190822,57.045012,1,-0.612000,0.600000,0.000000,Entry,-0.000252975,-1.571049275,1.570796300,11-SEP-2026,,842546,57373055,57373055,MBNV.X0220059,,SPMBNV_HWP,,,
