# Table
# meta={"__class__": "Table", "column_dtypes": {"name": "|O", "phi_rad_ccs": "<f8", "psi_rad_ccs": "<f8", "theta_gon_ccs": "<f8", "theta_rad": "<f8", "x_ccs": "<f8", "y_ccs": "<f8", "z_ccs": "<f8"}, "xtrack_version": "0.112.0"}
name,x_ccs,y_ccs,z_ccs,theta_gon_ccs,phi_rad_ccs,psi_rad_ccs,theta_rad
tbaca.x0600000.u,677.24488,4605.8619,2441.56985,10.488331554165176,-0.000358,0.0,0.1647503267948967
tbaca.x0600000.d,677.24488,4605.8619,2441.56985,10.488331554165176,-0.000358,0.0,0.1647503267948967
tbid.251248.u,677.3022821115959,4606.207160744777,2441.5697247000026,10.488331554165176,-0.000358,0.0,0.1647503267948967
tbid.251248.d,677.3432836198788,4606.453775562475,2441.5696352000045,10.488331554165176,-0.000358,0.0,0.1647503267948967
tcmab.x0600001.u,677.3514839215353,4606.503098526015,2441.569617300005,10.488331554165176,-0.000358,0.0,0.1647503267948967
tcmab.x0600001.d,677.4170863347879,4606.897682234332,2441.5694741000084,10.488331554165176,-0.000358,0.0,0.1647503267948967
xtcx.x0610002.u,677.4416872397576,4607.045651124951,2441.5694204000097,10.488331554165176,-0.000358,0.0,0.1647503267948967
xtcx.x0610002.d,677.8353017192729,4609.413153374853,2441.568561200028,10.488331554165176,-0.000358,0.0,0.1647503267948967
xvw.x0610003.u,677.8516859219827,4609.511700656006,2441.5685254358286,10.488331554165176,-0.000358,0.0,0.1647503267948967
xvw.x0610003.d,677.851702322586,4609.511799301933,2441.5685254000286,10.488331554165176,-0.000358,0.0,0.1647503267948967
qnrb.x0610005.u,677.8959839515314,4609.778143305047,2441.568428740031,10.488331554165176,-0.000358,0.0,0.1647503267948967
qnrb.x0610005.d,678.3863619905943,4612.727656524717,2441.5673583200537,10.488331554165176,-0.000358,0.0,0.1647503267948967
qnlb.x0610009.u,678.4585246451721,4613.161698603865,2441.567200800057,10.488331554165176,-0.000358,0.0,0.1647503267948967
qnlb.x0610009.d,678.948902684235,4616.111211823535,2441.56613038008,10.488331554165176,-0.000358,0.0,0.1647503267948967
qnlb.x0610012.u,679.0210653388128,4616.545253902684,2441.565972860083,10.488331554165176,-0.000358,0.0,0.1647503267948967
qnlb.x0610012.d,679.5114433778757,4619.494767122354,2441.564902440106,10.488331554165176,-0.000358,0.0,0.1647503267948967
qnlb.x0610016.u,679.5836060324535,4619.928809201502,2441.564744920109,10.488331554165176,-0.000358,0.0,0.1647503267948967
qnlb.x0610016.d,680.0739840715164,4622.878322421172,2441.563674500132,10.488331554165176,-0.000358,0.0,0.1647503267948967
qnlb.x0610019.u,680.1461467260942,4623.312364500321,2441.5635169801353,10.488331554165176,-0.000358,0.0,0.1647503267948967
qnlb.x0610019.d,680.6365247651571,4626.2618777199905,2441.562446560158,10.488331554165176,-0.000358,0.0,0.1647503267948967
qnlb.x0610023.u,680.7086874197349,4626.695919799139,2441.5622890401614,10.488331554165176,-0.000358,0.0,0.1647503267948967
qnlb.x0610023.d,681.1990654587978,4629.645433018809,2441.5612186201843,10.488331554165176,-0.000358,0.0,0.1647503267948967
mbsa.x0610026.u,681.2999290541428,4630.252104778462,2441.5609984504404,10.583076497859217,-0.000357999603535093,5.327933260819523e-07,0.16623857689026658
mbsa.x0610026.d,681.9287300605929,4633.999718344934,2441.559638051976,10.583076497859219,-0.000357999603535093,5.327933260819524e-07,0.1662385768902666
mbsa.x0610031.u,682.054937599275,4634.745107815584,2441.5593674056827,10.772566385247085,-0.0003579964318211062,1.5983752579378208e-06,0.169215077081003
mbsa.x0610031.d,682.6948905763041,4638.490833157429,2441.558007019271,10.772566385247087,-0.0003579964318211062,1.598375257937821e-06,0.16921507708100303
mbsa.x0610035.u,682.8233163236887,4639.235844361152,2441.557736376323,10.867311328940806,-0.0003579936565790513,2.1311615035668677e-06,0.17070332717636785
mbsa.x0610035.d,683.4688431660458,4642.980613145092,2441.556376000457,10.867311328940806,-0.0003579936565790513,2.1311615035668677e-06,0.17070332717636785
vxss.x0610045.u,683.5092548451322,4643.2150455256215,2441.5562908373477,10.867311328940806,-0.0003579936565790513,2.1311615035668677e-06,0.17070332717636785
vxss.x0610045.d,685.3344344267612,4653.803103331881,2441.552444474825,10.867311328940806,-0.0003579936565790513,2.1311615035668677e-06,0.17070332717636785
ref.x0610046.u,685.6743365856042,4655.774911335065,2441.5517281689126,10.867311328940806,-0.0003579936565790513,2.1311615035668677e-06,0.17070332717636785
ref.x0610046.d,685.6743365856042,4655.774911335065,2441.5517281689126,10.867311328940806,-0.0003579936565790513,2.1311615035668677e-06,0.17070332717636785
xtax.x0610052.u,685.9705779081097,4656.179341295587,2441.5515679499163,11.625270878478295,-0.00035794291056024736,6.393182416004664e-06,0.18260932793909387
xtax.x0610052.d,686.2638556423059,4657.767488907256,2441.550989872128,11.625270878478295,-0.00035794291056024736,6.393182416004664e-06,0.18260932793909387
xtax.x0610054.u,686.2674875647108,4657.787156369939,2441.55098271327,11.625270878478295,-0.00035794291056024736,6.393182416004664e-06,0.18260932793909387
xtax.x0610054.d,686.560765298907,4659.375303981608,2441.5504046354818,11.625270878478295,-0.00035794291056024736,6.393182416004664e-06,0.18260932793909387
xvw.x0610055.u,686.5754593018805,4659.454874446759,2441.5503756722305,11.625270878478295,-0.00035794291056024736,6.393182416004664e-06,0.18260932793909387
xvw.x0610055.d,686.5754774614926,4659.454972784073,2441.5503756364365,11.625270878478295,-0.00035794291056024736,6.393182416004664e-06,0.18260932793909387
