field_component,derivative_x,region_name,s_start,s_end,idx_start,idx_end,param_index,param_name,param_symbol,param_value,to_fit
Bs,0,Poly_0,-1.1,1.1,0,2200,0,bs_0,bs_0,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,1,bs_1,bs_1,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,2,bs_2,bs_2,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,3,bs_3,bs_3,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,4,bs_4,bs_4,0,False
Bx,0,Poly_0,-1.1,-1.09,0,10,0,a_1_0,a_1_0,-144.49412775945484,True
Bx,0,Poly_0,-1.1,-1.09,0,10,1,a_1_1,a_1_1,-526.3193200368221,True
Bx,0,Poly_0,-1.1,-1.09,0,10,2,a_1_2,a_1_2,-718.9067223433822,True
Bx,0,Poly_0,-1.1,-1.09,0,10,3,a_1_3,a_1_3,-436.4255154603993,True
Bx,0,Poly_0,-1.1,-1.09,0,10,4,a_1_4,a_1_4,-99.3525657704341,True
Bx,0,Poly_1,-1.09,-1.079,10,21,0,a_1_0,a_1_0,-92.9217057001229,True
Bx,0,Poly_1,-1.09,-1.079,10,21,1,a_1_1,a_1_1,-338.09324414714877,True
Bx,0,Poly_1,-1.09,-1.079,10,21,2,a_1_2,a_1_2,-461.2905611452867,True
Bx,0,Poly_1,-1.09,-1.079,10,21,3,a_1_3,a_1_3,-279.7201889256185,True
Bx,0,Poly_1,-1.09,-1.079,10,21,4,a_1_4,a_1_4,-63.60671763773893,True
Bx,0,Poly_10,-0.995,-0.984,105,116,0,a_1_0,a_1_0,-9061867.08717349,True
Bx,0,Poly_10,-0.995,-0.984,105,116,1,a_1_1,a_1_1,-36546321.761925794,True
Bx,0,Poly_10,-0.995,-0.984,105,116,2,a_1_2,a_1_2,-55266606.76487644,True
Bx,0,Poly_10,-0.995,-0.984,105,116,3,a_1_3,a_1_3,-37141662.11710662,True
Bx,0,Poly_10,-0.995,-0.984,105,116,4,a_1_4,a_1_4,-9359510.110613104,True
Bx,0,Poly_100,0.214,0.226,1314,1326,0,a_1_0,a_1_0,2485.0987537895567,True
Bx,0,Poly_100,0.214,0.226,1314,1326,1,a_1_1,a_1_1,-59570.27210226216,True
Bx,0,Poly_100,0.214,0.226,1314,1326,2,a_1_2,a_1_2,503690.11290431744,True
Bx,0,Poly_100,0.214,0.226,1314,1326,3,a_1_3,a_1_3,-1819199.3058496402,True
Bx,0,Poly_100,0.214,0.226,1314,1326,4,a_1_4,a_1_4,2396025.340035119,True
Bx,0,Poly_101,0.226,0.23800000000000002,1326,1338,0,a_1_0,a_1_0,16988.005602852754,True
