field_component,derivative_x,region_name,s_start,s_end,idx_start,idx_end,param_index,param_name,param_symbol,param_value,to_fit
Bs,0,Poly_0,-1.1,1.1,0,2200,0,bs_0,bs_0,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,1,bs_1,bs_1,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,2,bs_2,bs_2,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,3,bs_3,bs_3,0,False
Bs,0,Poly_0,-1.1,1.1,0,2200,4,bs_4,bs_4,0,False
Bx,0,Poly_0,-1.1,-1.09,0,10,0,ks_1_0,ks_1_0,-144.49412775646218,True
Bx,0,Poly_0,-1.1,-1.09,0,10,1,ks_1_1,ks_1_1,-526.3193200258899,True
Bx,0,Poly_0,-1.1,-1.09,0,10,2,ks_1_2,ks_1_2,-718.9067223284063,True
Bx,0,Poly_0,-1.1,-1.09,0,10,3,ks_1_3,ks_1_3,-436.42551545128157,True
Bx,0,Poly_0,-1.1,-1.09,0,10,4,ks_1_4,ks_1_4,-99.35256576835243,True
Bx,0,Poly_1,-1.09,-1.079,10,21,0,ks_1_0,ks_1_0,-92.9218263708432,True
Bx,0,Poly_1,-1.09,-1.079,10,21,1,ks_1_1,ks_1_1,-338.0936893833846,True
Bx,0,Poly_1,-1.09,-1.079,10,21,2,ks_1_2,ks_1_2,-461.29117718201655,True
Bx,0,Poly_1,-1.09,-1.079,10,21,3,ks_1_3,ks_1_3,-279.7205677486935,True
Bx,0,Poly_1,-1.09,-1.079,10,21,4,ks_1_4,ks_1_4,-63.60680499393922,True
Bx,0,Poly_10,-0.995,-0.984,105,116,0,ks_1_0,ks_1_0,-9061876.23351586,True
Bx,0,Poly_10,-0.995,-0.984,105,116,1,ks_1_1,ks_1_1,-36546358.750419855,True
Bx,0,Poly_10,-0.995,-0.984,105,116,2,ks_1_2,ks_1_2,-55266662.85838429,True
Bx,0,Poly_10,-0.995,-0.984,105,116,3,ks_1_3,ks_1_3,-37141699.92404487,True
Bx,0,Poly_10,-0.995,-0.984,105,116,4,ks_1_4,ks_1_4,-9359519.666195255,True
Bx,0,Poly_100,0.214,0.226,1314,1326,0,ks_1_0,ks_1_0,2485.098745913237,True
Bx,0,Poly_100,0.214,0.226,1314,1326,1,ks_1_1,ks_1_1,-59570.271959216414,True
Bx,0,Poly_100,0.214,0.226,1314,1326,2,ks_1_2,ks_1_2,503690.1119303437,True
Bx,0,Poly_100,0.214,0.226,1314,1326,3,ks_1_3,ks_1_3,-1819199.302902996,True
Bx,0,Poly_100,0.214,0.226,1314,1326,4,ks_1_4,ks_1_4,2396025.3366929283,True
